,1,2
1,Abdominal aortic aneurysm,"a pulsating feeling in your stomach (abdomen), usually near your belly button, that's usually only noticeable when you touch it,persistent back pain,persistent abdominal pain,dizziness,sweaty and clammy skin,rapid heartbeat (tachycardia),shortness of breath,feeling faint,loss of consciousness"
2,Acne,"periods – some women have a flare-up of acne just before their period,some cosmetic products – however, this is less common as most products are now tested, so they don't cause spots (non-comedogenic),regularly wearing items that place pressure on an affected area of skin, such as a headband or backpack"
3,Acute cholecystitis,"a high temperature (fever),nausea and vomiting,sweating,loss of appetite,yellowing of the skin and the whites of the eyes (jaundice),a bulge in the abdomen,fasting (not eating or drinking) to take the strain off your gallbladder,taking medication to relieve your pain,the death of the tissue of the gallbladder, called gangrenous cholecystitis, which can cause a serious infection that could spread throughout the body,the gallbladder splitting open, known as a perforated gallbladder, which can spread the infection within your abdomen (peritonitis) or lead to a build-up of pus (abscess)"
4,Acute lymphoblastic leukaemia,"pale skin,feeling tired and breathless,having repeated infections over a short space of time,unusual and frequent bleeding, such as bleeding gums or nose bleeds,high temperature (fever) of 38C (100.4F) or above,night sweats,bone and joint pain,easily bruised skin,swollen lymph nodes (glands),abdominal pain – caused by a swollen liver or spleen,unexplained weight loss ,a purple skin rash (purpura),headaches,seizures (fits),vomiting,blurred vision,dizziness"
5,Acute lymphoblastic leukaemia: Children,"red blood cells, which carry oxygen around the body,platelets, which help the blood to clot and control bleeding,white blood cells, which help fight infection,acute lymphoblastic (ALL),chronic lymphocyte (CLL),chronic myeloid (CML),hair loss,reduction in the number of blood cells produced by the bone marrow, which can cause anaemia (increased risk of bruising, bleeding and infection,loss of appetite,feeling sick (nausea) and being sick (vomiting),increased appetite,mood changes and irritability,weight gain,muscle weakness (especially in the legs)"
6,Acute lymphoblastic leukaemia: Teenagers and young adults,"white blood cells – which help us fight infection,red blood cells – which carry oxygen from the lungs around our body,platelets – which clot our blood to stop us bleeding when we cut ourselves,lymphoblasts that make lymphocytes,myeloid cells (myeloblasts) that make other types of white blood cells such as neutrophils.,Leukaemia that starts from abnormal lymphoblasts is called acute lymphoblastic leukaemia (ALL)."
7,Acute myeloid leukaemia,"pale skin,tiredness,breathlessness,a high temperature (fever),excessive sweating,weight loss,frequent infections,easily bruised skin,flat red or purple spots on the skin (petechiae),bone and joint pain,a feeling of fullness or discomfort in your tummy (abdomen), caused by swelling of the liver or spleen"
8,Acute myeloid leukaemia: Children,"red blood cells, which carry oxygen around the body,platelets, which help the blood to clot and control bleeding,white blood cells, which help to fight infection,acute lymphoblastic (ALL),acute myeloid (AML),chronic lymphocytic (CLL),chronic myeloid (CML),M0 - AML with minimal evidence of myeloid differentiation,M1 - AML without maturation,M2 - AML with maturation,M3 - Acute promyelocytic leukaemia (APL),M4 - Acute myelomonocytic leukaemia,M5 - Acute monocytic/monoblastic leukaemia,M6 - Acute erythroleukaemia,M7 - Acute megakaryoblastic leukaemia,hair loss,reduction in the number of blood cells produced by the bone marrow, which can cause anaemia (increased risk of bruising, bleeding and infection),loss of appetite and weight,feeling sick (nausea) and being sick (vomiting)"
9,Acute myeloid leukaemia: Teenagers and young adults,"white blood cells – which help us fight infection,red blood cells – which carry oxygen from the lungs around our body,platelets – which clot our blood to stop us bleeding when we cut ourselves,lymphoblasts that make lymphocytes,myeloid cells (myeloblasts) that make other types of white blood cells such as neutrophils.,leukaemia that starts from abnormal myeloid cells is called acute myeloid leukaemia - or AML for short.,leukaemia that starts from abnormal lymphoblasts is called acute lymphoblastic leukaemia (ALL)."
10,Acute pancreatitis,"nausea (feeling sick) or vomiting,diarrhoea,indigestion,a high temperature (fever) of 38C (100.4F) or above,jaundice – yellowing of the skin and the whites of the eyes,tenderness or swelling of the abdomen (tummy)"
